group_id,size,child_present,coverage,category,ad_id,ad_title,ad_tagline
0,2,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
1,3,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
2,1,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
3,1,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
4,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
5,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
6,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
7,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
8,1,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
9,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
10,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
11,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
12,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
13,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
14,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
15,3,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
16,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
17,2,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
18,1,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
19,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
20,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
21,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
22,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
23,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
24,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
25,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
26,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
27,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
28,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
29,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
30,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
31,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
32,1,False,1.0,Formal-Adult,FORM-002,The Oak Room Restaurant,Reservations open for tonight
33,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
34,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
35,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
36,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
37,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
38,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
39,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
40,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
41,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
42,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
43,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
44,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
45,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
46,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
47,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
48,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
49,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
50,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
51,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
52,1,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
53,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
54,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
55,3,False,0.33,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
56,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
57,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
58,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
59,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
60,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
61,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
62,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
63,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
64,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
65,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
66,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
67,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
68,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
69,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
70,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
71,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
72,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
73,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
74,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
75,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
76,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
77,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
78,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
79,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
80,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
81,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
82,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
83,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
84,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
85,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
86,1,False,1.0,Formal-Adult,FORM-002,The Oak Room Restaurant,Reservations open for tonight
87,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
88,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
89,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
90,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
91,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
92,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
93,1,False,1.0,Formal-Adult,FORM-001,Meridian Watches,"Timeless, for the moments that matter"
94,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
95,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
96,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
97,2,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
98,3,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
99,2,False,1.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
100,1,False,1.0,Teen/Sportswear,TEEN-002,SplashZone Energy Drink,Fuel for whatever you're chasing
101,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
102,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
103,1,False,1.0,Teen/Sportswear,TEEN-001,PulseFit Running Gear,Lace up. Level up.
104,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
105,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
106,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
107,1,False,1.0,Teen/Sportswear,TEEN-001,PulseFit Running Gear,Lace up. Level up.
108,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
109,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
110,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
111,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
112,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
113,1,False,1.0,Casual-Adult,CAS-002,QuickBite Caf̩,"Good coffee, no line"
114,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
115,1,False,1.0,Casual-Adult,CAS-001,Everyday Basics Co.,"Simple clothes, well made"
116,1,False,0.0,Neutral-Fallback,NEU-001,City Transit Card,"One card, every ride"
